Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,104.500000,104.940002,102.309998,103.290001,102.904030,10989500
2021-09-08,102.949997,104.730003,100.419998,102.580002,102.196693,12001300
2021-09-09,102.360001,104.919998,102.110001,103.290001,102.904030,9386500
2021-09-10,103.290001,103.949997,101.779999,102.000000,101.618858,9563600
2021-09-13,102.650002,104.860001,102.019997,104.459999,104.069664,12484200
2021-09-14,104.540001,104.550003,100.070000,100.379997,100.004906,16022600
2021-09-15,100.790001,102.470001,100.690002,102.160004,101.778267,8103700
2021-09-16,102.389999,102.699997,100.820000,101.339996,100.961319,5981900
2021-09-17,101.150002,101.860001,100.129997,100.470001,100.094574,10718000
2021-09-20,98.500000,99.870003,97.269997,99.809998,99.437027,10103800
2021-09-21,99.900002,99.989998,96.209999,96.820000,96.458206,15788600
2021-09-22,97.669998,99.029999,97.660004,98.540001,98.171783,11216100
2021-09-23,99.529999,104.080002,99.519997,102.959999,102.575264,11601100
2021-09-24,102.660004,104.199997,102.599998,103.800003,103.492546,6559500
2021-09-27,104.550003,106.330002,104.389999,105.349998,105.037949,8081500
2021-09-28,105.290001,106.750000,104.730003,105.730003,105.416832,12551700
2021-09-29,106.000000,107.000000,105.309998,106.279999,105.965202,7399200
2021-09-30,106.360001,107.089996,102.949997,103.029999,102.724815,8944200
2021-10-01,104.180000,106.389999,103.669998,105.820000,105.506561,8094500
2021-10-04,105.400002,107.080002,104.599998,104.900002,104.589287,7656200
2021-10-05,105.059998,106.000000,103.750000,104.900002,104.589287,5737200
2021-10-06,103.680000,104.419998,102.059998,104.330002,104.020973,7013900
2021-10-07,104.839996,106.529999,104.330002,105.510002,105.197479,6656500
2021-10-08,105.370003,106.220001,104.660004,104.720001,104.409813,4273600
2021-10-11,104.839996,105.760002,103.970001,104.080002,103.771713,4121800
2021-10-12,103.559998,104.040001,101.559998,102.720001,102.415749,8549600
2021-10-13,102.199997,103.199997,101.180000,102.360001,102.056808,7517000
2021-10-14,103.139999,103.650002,102.370003,102.739998,102.435677,6139100
2021-10-15,103.650002,105.900002,103.190002,104.410004,104.100739,5650300
2021-10-18,103.680000,104.570000,103.040001,104.120003,103.811592,4145500
2021-10-19,104.580002,104.970001,103.580002,104.730003,104.419792,4216400
2021-10-20,104.750000,106.019997,103.870003,106.000000,105.686035,6107900
2021-10-21,105.760002,106.389999,103.010002,103.150002,102.844467,7219600
2021-10-22,103.050003,104.510002,102.550003,104.050003,103.741806,5355000
2021-10-25,103.639999,105.989998,103.330002,105.300003,104.988106,6496200
2021-10-26,105.760002,110.970001,105.220001,107.440002,107.121765,11701000
2021-10-27,107.879997,108.279999,103.690002,103.849998,103.542389,8984300
2021-10-28,103.389999,105.379997,103.099998,105.260002,104.948219,5910800
2021-10-29,104.949997,105.239998,104.120003,104.870003,104.559372,5618700
2021-11-01,105.760002,106.769997,105.279999,106.230003,105.915352,4887100
2021-11-02,106.339996,107.139999,105.300003,106.690002,106.373985,4480800
2021-11-03,106.160004,106.339996,104.820000,105.970001,105.656113,4111700
2021-11-04,105.870003,106.400002,104.290001,105.209999,104.898361,4675800
2021-11-05,106.930000,109.650002,106.849998,108.739998,108.417908,7602300
2021-11-08,109.400002,110.309998,108.320000,108.419998,108.098862,5174500
2021-11-09,114.730003,116.169998,110.480003,111.290001,110.960358,25123700
2021-11-10,112.500000,112.680000,108.110001,108.959999,108.637253,8692600
2021-11-11,108.550003,109.599998,106.779999,107.000000,106.683060,5512800
2021-11-12,107.400002,107.930000,106.459999,107.589996,107.271309,7625800
